FID,1023Ratio,1024Ratio,1025Ratio,1026Ratio,1027Ratio,1028Ratio,1029Ratio,1030Ratio,1031Ratio,1101Ratio,
338,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
339,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1113,0.1484,0.0000,0.0000,
340,0.0000,0.0000,0.0000,0.0000,0.0367,0.0000,0.0000,0.0000,0.0000,0.0000,
341,0.0000,0.0000,0.0000,0.0000,0.0000,0.2809,0.0000,0.0000,0.0000,0.0000,
342,0.0000,0.0000,0.0000,0.0000,0.0000,0.0419,0.0209,0.0419,0.0000,0.0000,
343,0.0000,0.0000,0.0000,0.0000,0.0940,0.0000,0.0000,0.0000,0.0000,0.0000,
344,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0284,0.0284,0.0284,0.0284,
345,0.0000,0.0000,0.0000,0.0652,0.0838,0.0372,0.0372,0.0372,0.0000,0.0000,
346,0.0000,0.0000,0.0084,0.0000,0.0084,0.0042,0.0420,0.0126,0.0084,0.0042,
347,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0110,0.0110,0.0000,0.0110,
348,0.0000,0.0000,0.0000,0.0000,0.0000,0.0112,0.0337,0.0786,0.0000,0.0056,
349,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0120,0.0000,0.0000,0.0000,
350,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1002,0.0000,0.0000,0.0000,
351,0.0000,0.0000,0.0000,0.0752,0.1354,0.1204,0.0451,0.0301,0.0150,0.0000,
352,0.0000,0.0000,0.0000,0.0000,0.0000,0.0422,0.0000,0.0000,0.0422,0.0000,
353,0.0000,0.0065,0.0065,0.0000,0.0000,0.0065,0.0194,0.0259,0.0065,0.0065,
354,0.0000,0.0000,0.0000,0.0000,0.0000,0.0157,0.0157,0.0630,0.0000,0.0000,
355,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
356,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1352,0.2028,0.0676,0.0000,
357,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
358,0.0000,0.0000,0.0000,0.0000,0.0000,0.0204,0.0408,0.0408,0.0000,0.0102,
359,0.0000,0.0000,0.0000,0.0516,0.0172,0.0000,0.0516,0.0344,0.0000,0.0000,
360,0.0000,0.0000,0.0000,0.0000,0.0483,0.0193,0.0290,0.0580,0.0000,0.0000,
361,0.0063,0.0031,0.0063,0.0031,0.0094,0.0219,0.0814,0.0657,0.0157,0.0063,
362,0.0000,0.0000,0.0000,0.0425,0.2123,0.2973,0.0849,0.2123,0.0000,0.0000,
363,0.0000,0.0000,0.0590,0.1474,0.5012,0.4717,0.6486,0.5012,0.1769,0.0884,
364,0.0000,0.0000,0.0000,0.0000,0.0061,0.0123,0.0982,0.0553,0.0061,0.0184,
365,0.0000,0.0000,0.0242,0.0000,0.0000,0.0000,0.0242,0.1455,0.0000,0.0000,
366,0.0000,0.0000,0.0000,0.0000,0.0342,0.0171,0.0855,0.0513,0.0000,0.0000,
367,0.0000,0.0000,0.0037,0.0037,0.0037,0.0149,0.0822,0.1046,0.0187,0.0149,
368,0.0000,0.0000,0.0000,0.0000,0.0000,0.0530,0.0177,0.0000,0.0000,0.0000,
369,0.0000,0.0000,0.0029,0.0000,0.0057,0.0285,0.0970,0.0314,0.0086,0.0029,
370,0.0000,0.0000,0.0000,0.0000,0.0000,0.0165,0.0165,0.0330,0.0000,0.0165,
371,0.0000,0.0000,0.0000,0.0000,0.0097,0.0340,0.0534,0.0194,0.0049,0.0097,
372,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
373,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1129,0.0000,0.0000,
374,0.0000,0.0000,0.0000,0.0000,0.0000,0.0167,0.0334,0.0167,0.0000,0.0167,
375,0.0000,0.0000,0.0000,0.0000,0.0468,0.0000,0.0000,0.0000,0.0000,0.0000,
376,0.0173,0.0000,0.0000,0.0173,0.0000,0.0346,0.1210,0.0173,0.0000,0.0000,
377,0.0000,0.0000,0.0000,0.0000,0.0000,0.0336,0.0168,0.0000,0.0000,0.0000,
378,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0128,0.0383,0.0000,0.0256,
379,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0444,0.0222,0.0000,0.0000,
380,0.0000,0.0020,0.0020,0.0020,0.0082,0.0143,0.0819,0.0778,0.0205,0.0082,
381,0.0000,0.0000,0.0000,0.0000,0.0549,0.0366,0.0183,0.0549,0.0000,0.0000,
382,0.0000,0.0000,0.0087,0.0000,0.0087,0.0000,0.0349,0.0349,0.0087,0.0000,
383,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0169,0.0000,0.0000,
384,0.0000,0.0000,0.0000,0.0187,0.0000,0.0094,0.0187,0.0094,0.0000,0.0000,
385,0.0000,0.0000,0.0000,0.0405,0.0811,0.0405,0.0811,0.0000,0.0000,0.0000,
386,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0213,0.1278,0.0213,0.0213,
387,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
388,0.0000,0.0000,0.0125,0.0000,0.0063,0.0000,0.0564,0.0690,0.0188,0.0000,
389,0.0000,0.0000,0.0000,0.0000,0.0497,0.1242,0.1490,0.0000,0.0000,0.0248,
390,0.0000,0.0000,0.0000,0.0118,0.0118,0.0059,0.0415,0.0118,0.0059,0.0000,
391,0.0000,0.0000,0.0000,0.0000,0.0985,0.0985,0.0985,0.0000,0.0000,0.0000,
392,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
393,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0963,0.0000,0.0000,0.0482,
394,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0408,0.0000,0.0408,0.0000,
395,0.0000,0.0000,0.0000,0.0022,0.0065,0.0207,0.1000,0.0979,0.0304,0.0250,
396,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0642,0.0000,0.0000,0.0000,
397,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0360,0.0000,0.0000,0.0000,
398,0.0000,0.0000,0.0000,0.0000,0.0113,0.0113,0.0340,0.0567,0.0113,0.0113,
399,0.0000,0.0000,0.0000,0.0313,0.0313,0.0209,0.0522,0.0730,0.0209,0.0000,
400,0.0000,0.0049,0.0049,0.0395,0.1530,0.0641,0.0937,0.1283,0.0247,0.0049,
401,0.0000,0.0000,0.0000,0.0000,0.0453,0.0453,0.0905,0.0000,0.0000,0.0000,
402,0.0000,0.0056,0.0056,0.0225,0.0450,0.0731,0.0675,0.0956,0.0225,0.0169,
403,0.0000,0.0000,0.0000,0.0075,0.0075,0.0448,0.0972,0.1420,0.0149,0.0075,
404,0.0000,0.0000,0.0000,0.0000,0.1522,0.0000,0.0000,0.0000,0.0000,0.0000,
405,0.0000,0.0000,0.0000,0.0492,0.0738,0.1967,0.2705,0.0492,0.0000,0.0000,
406,0.0000,0.0000,0.0000,0.0383,0.0192,0.0192,0.0958,0.0192,0.0000,0.0000,
407,0.0000,0.0000,0.0000,0.0000,0.0000,0.1487,0.0743,0.0000,0.0000,0.0000,
408,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0760,0.0253,0.0000,0.0000,
409,0.0000,0.0000,0.0059,0.0297,0.0357,0.0714,0.1070,0.0297,0.0297,0.0059,
410,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0975,0.0000,0.0000,0.0000,
411,0.0000,0.0000,0.0000,0.0000,0.0000,0.0141,0.0423,0.0212,0.0000,0.0000,
412,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
413,0.0000,0.0000,0.0000,0.0000,0.0075,0.0224,0.0298,0.0373,0.0149,0.0075,
414,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0214,0.0320,0.0000,0.0000,
415,0.0000,0.0000,0.0000,0.0000,0.0000,0.0072,0.0289,0.0433,0.0072,0.0072,
416,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0147,0.0590,0.0000,0.0000,
417,0.0000,0.0000,0.0000,0.0631,0.0158,0.0315,0.0631,0.0631,0.0000,0.0000,
418,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0277,0.0830,0.0000,0.0000,
419,0.0000,0.0000,0.0000,0.0000,0.0165,0.0000,0.0660,0.0495,0.0000,0.0000,
420,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0211,0.0000,0.0000,0.0000,
421,0.0000,0.0000,0.0000,0.0136,0.0000,0.0000,0.0271,0.0407,0.0000,0.0000,
422,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
423,0.0000,0.0000,0.0000,0.0000,0.0000,0.0302,0.0302,0.0000,0.0000,0.0000,
424,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
425,0.0000,0.0050,0.0050,0.0000,0.0050,0.0000,0.0298,0.0199,0.0000,0.0000,
426,0.0000,0.0000,0.0000,0.0000,0.0000,0.0220,0.0000,0.0440,0.0000,0.0000,
427,0.0011,0.0011,0.0033,0.0133,0.0189,0.0433,0.1065,0.0777,0.0233,0.0200,
428,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
429,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0756,0.0000,0.0000,0.0000,
430,0.0000,0.0000,0.0000,0.0000,0.0000,0.0979,0.2741,0.1958,0.0979,0.0783,
431,0.0000,0.0082,0.0000,0.0082,0.0082,0.0082,0.0489,0.0571,0.0163,0.0245,
432,0.0000,0.0000,0.0000,0.0000,0.0000,0.0288,0.0144,0.0000,0.0144,0.0000,
433,0.0000,0.0000,0.0000,0.0246,0.0123,0.0246,0.0246,0.0369,0.0000,0.0000,
434,0.0000,0.0000,0.0000,0.0000,0.0000,0.0521,0.0260,0.0521,0.0000,0.0000,
435,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2245,0.0000,0.0000,
436,0.0000,0.0000,0.0033,0.0131,0.0164,0.1414,0.3978,0.2005,0.0296,0.0427,
437,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1634,0.0409,0.0000,0.0000,
438,0.0007,0.0000,0.0022,0.0101,0.0152,0.0924,0.3090,0.2642,0.0765,0.0361,
439,0.0000,0.0000,0.0100,0.0050,0.0150,0.0349,0.2493,0.1047,0.0050,0.0050,
440,0.0000,0.0000,0.0000,0.0000,0.0000,0.0249,0.2615,0.1121,0.0000,0.0000,
441,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0875,0.0500,0.0000,0.0000,
