FID,1023Ratio,1024Ratio,1025Ratio,1026Ratio,1027Ratio,1028Ratio,1029Ratio,1030Ratio,1031Ratio,1101Ratio,
527,0.0000,0.0000,0.0000,0.0076,0.0152,0.1372,0.1753,0.0762,0.0076,0.0152,
528,0.0000,0.0000,0.0091,0.0036,0.0219,0.0894,0.2973,0.1149,0.0164,0.0055,
529,0.0000,0.0000,0.0000,0.0000,0.0000,0.3024,0.4838,0.1210,0.0000,0.0000,
530,0.0000,0.0027,0.0013,0.0081,0.0161,0.0996,0.3754,0.1278,0.0431,0.0108,
531,0.0000,0.0000,0.0000,0.0000,0.0140,0.0701,0.2242,0.0701,0.0000,0.0140,
532,0.0000,0.0000,0.0022,0.0108,0.0216,0.0777,0.3387,0.1748,0.0129,0.0216,
533,0.0000,0.0000,0.0063,0.0063,0.0253,0.1581,0.3669,0.1771,0.0190,0.0253,
534,0.0013,0.0020,0.0040,0.0113,0.0146,0.1144,0.4424,0.1810,0.0432,0.0140,
536,0.0000,0.0015,0.0045,0.0119,0.0298,0.1461,0.3771,0.1759,0.0417,0.0104,
537,0.0020,0.0040,0.0101,0.0061,0.0283,0.1273,0.4708,0.1515,0.0364,0.0061,
538,0.0000,0.0069,0.0083,0.0332,0.0249,0.3005,1.2964,0.4224,0.1246,0.0499,
539,0.0013,0.0000,0.0013,0.0025,0.0150,0.1302,0.2755,0.1052,0.0213,0.0088,
540,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
541,0.0094,0.0000,0.0000,0.0000,0.0000,0.0094,0.0658,0.1411,0.0000,0.0094,
542,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0941,0.0941,0.0000,0.0000,
543,0.0000,0.0000,0.0000,0.0099,0.0000,0.0000,0.0296,0.2463,0.0394,0.0197,
544,0.0000,0.0000,0.0154,0.0000,0.0000,0.0309,0.3861,0.2780,0.0772,0.0463,
545,0.0000,0.0000,0.0000,0.0000,0.0000,0.0218,0.0435,0.0218,0.0218,0.0000,
546,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0710,0.0852,0.0568,0.0000,
547,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0223,0.0000,0.0000,0.0000,
548,0.0000,0.0054,0.0000,0.0000,0.0054,0.0081,0.0462,0.0299,0.0000,0.0081,
549,0.0000,0.0000,0.0000,0.0347,0.0000,0.0000,0.0347,0.0694,0.0000,0.0000,
550,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2245,0.0998,0.0249,0.0249,
551,0.0000,0.0000,0.0000,0.0000,0.0000,0.0145,0.0289,0.0506,0.0000,0.0000,
552,0.0000,0.0000,0.0051,0.0000,0.0051,0.0152,0.0760,0.0456,0.0051,0.0051,
553,0.0000,0.0000,0.0000,0.0000,0.0000,0.0476,0.0238,0.0476,0.0238,0.0238,
554,0.0000,0.0000,0.0000,0.0000,0.0000,0.0093,0.0742,0.1113,0.0093,0.0000,
555,0.0000,0.0000,0.0000,0.0271,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
556,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0457,0.0457,0.0000,0.0000,
557,0.0000,0.0000,0.0000,0.0023,0.0031,0.0258,0.1445,0.2429,0.0492,0.0250,
558,0.0000,0.0000,0.0000,0.0000,0.0000,0.0189,0.0000,0.0189,0.0000,0.0000,
559,0.0000,0.0000,0.0256,0.0000,0.0000,0.0256,0.0512,0.0000,0.0000,0.0000,
560,0.0000,0.0000,0.0000,0.0000,0.0115,0.0459,0.1091,0.1435,0.0057,0.0057,
561,0.0000,0.0000,0.0000,0.0130,0.0000,0.0778,0.2076,0.3243,0.0259,0.0259,
562,0.0000,0.0000,0.0000,0.0068,0.0000,0.0068,0.1095,0.0205,0.0000,0.0000,
563,0.0344,0.0000,0.0000,0.0344,0.0000,0.0000,0.0344,0.1033,0.0344,0.0344,
564,0.0009,0.0000,0.0000,0.0086,0.0163,0.0198,0.1152,0.1616,0.0318,0.0086,
565,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0703,0.0234,0.0000,0.0234,
566,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0970,0.1293,0.0000,0.0000,
567,0.0000,0.0000,0.0000,0.0000,0.0000,0.0214,0.0321,0.0857,0.0428,0.0107,
568,0.0000,0.0000,0.0000,0.0000,0.0000,0.0371,0.0619,0.0557,0.0248,0.0062,
569,0.0000,0.0000,0.0000,0.0000,0.0249,0.0000,0.0748,0.0249,0.0000,0.0249,
570,0.0000,0.0000,0.0012,0.0037,0.0025,0.0062,0.0673,0.0760,0.0100,0.0100,
571,0.0000,0.0000,0.0000,0.0000,0.0000,0.0134,0.1070,0.0669,0.0134,0.0000,
572,0.0000,0.0000,0.0000,0.0000,0.0000,0.0312,0.0936,0.0624,0.0000,0.0000,
573,0.0000,0.0000,0.0000,0.0000,0.0000,0.0630,0.0630,0.0000,0.0000,0.0000,
574,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0709,0.1063,0.0354,0.0000,
575,0.0000,0.0000,0.0000,0.0000,0.0000,0.0229,0.0229,0.0688,0.0000,0.0000,
576,0.0000,0.0000,0.0000,0.0000,0.0000,0.0681,0.0000,0.0000,0.0000,0.0000,
577,0.0000,0.0000,0.0000,0.0000,0.0000,0.0236,0.0236,0.0236,0.0000,0.0000,
578,0.0000,0.0000,0.0000,0.0335,0.0000,0.0503,0.1677,0.3187,0.0168,0.0168,
579,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0602,0.0301,0.0301,
580,0.0000,0.0143,0.0000,0.0000,0.0000,0.0000,0.0574,0.0574,0.0143,0.0000,
581,0.0000,0.0000,0.0000,0.0000,0.0000,0.0164,0.0328,0.0492,0.0164,0.0000,
582,0.0130,0.0000,0.0000,0.0000,0.0043,0.0130,0.1130,0.1565,0.0348,0.0130,
583,0.0000,0.0000,0.0000,0.0000,0.0000,0.0160,0.0480,0.0961,0.0000,0.0000,
584,0.0060,0.0000,0.0000,0.0000,0.0000,0.0360,0.0721,0.0420,0.0060,0.0000,
585,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0872,0.1745,0.0000,0.0000,
586,0.0000,0.0033,0.0033,0.0000,0.0000,0.0066,0.1195,0.2323,0.0398,0.0133,
587,0.0000,0.0000,0.0000,0.0000,0.0023,0.0023,0.0770,0.1086,0.0113,0.0023,
588,0.0000,0.0000,0.0000,0.0000,0.0230,0.0000,0.0230,0.0000,0.0000,0.0000,
589,0.0042,0.0000,0.0000,0.0000,0.0000,0.0126,0.1214,0.1424,0.0209,0.0167,
590,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0301,0.0301,0.0150,0.0000,
591,0.0000,0.0000,0.0000,0.0000,0.0000,0.0116,0.1044,0.1857,0.0348,0.0174,
592,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0841,0.0000,0.0000,0.0000,
593,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0490,0.0490,0.0000,0.0245,
594,0.0000,0.0000,0.0000,0.0000,0.0098,0.0098,0.0293,0.0683,0.0000,0.0000,
595,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0683,0.0000,0.0000,0.0000,
596,0.0000,0.0000,0.0019,0.0019,0.0056,0.0056,0.0392,0.0561,0.0037,0.0037,
597,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0664,0.0000,0.0664,
598,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0574,0.1436,0.0000,0.0000,
599,0.0000,0.0000,0.0000,0.0000,0.0000,0.0116,0.0697,0.0349,0.0000,0.0000,
600,0.0000,0.0000,0.0683,0.0000,0.0000,0.0000,0.0683,0.0000,0.0000,0.0000,
601,0.0000,0.0000,0.0000,0.0483,0.0000,0.0241,0.0724,0.1448,0.1690,0.0966,
602,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0510,0.0510,0.0000,0.0000,
603,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0555,0.0000,
604,0.0000,0.0000,0.0000,0.0000,0.0000,0.0359,0.1257,0.2514,0.0180,0.0000,
605,0.0000,0.0000,0.0000,0.0000,0.0000,0.0348,0.0697,0.0697,0.0348,0.0348,
606,0.0062,0.0000,0.0062,0.0000,0.0062,0.0124,0.1797,0.2726,0.0310,0.0186,
607,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0473,0.0000,0.0000,
608,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0290,0.0000,0.0000,
609,0.0080,0.0080,0.0000,0.0000,0.0000,0.0161,0.1205,0.1285,0.0241,0.0080,
610,0.0000,0.0000,0.0000,0.0000,0.0000,0.0128,0.0512,0.0641,0.0000,0.0128,
611,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0820,0.3118,0.0164,0.0164,
612,0.0000,0.0000,0.0000,0.0000,0.0000,0.0126,0.0252,0.0503,0.0126,0.0000,
613,0.0000,0.0000,0.0000,0.0000,0.0000,0.0176,0.0000,0.0705,0.0000,0.0000,
614,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1012,0.0607,0.0000,0.0000,
615,0.0000,0.0000,0.0000,0.0053,0.0053,0.0186,0.0586,0.1518,0.0213,0.0053,
616,0.0018,0.0092,0.0092,0.0018,0.0037,0.0240,0.1181,0.2104,0.0221,0.0055,
617,0.0048,0.0000,0.0190,0.0285,0.0048,0.0428,0.1189,0.0903,0.0428,0.0048,
618,0.0000,0.0000,0.0108,0.0000,0.0216,0.1836,0.0972,0.1944,0.0216,0.0000,
619,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0574,0.0191,0.0000,0.0191,
620,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1044,0.0696,0.0000,0.0348,
621,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
622,0.0000,0.0000,0.0000,0.0000,0.0000,0.0141,0.0705,0.0705,0.0141,0.0000,
623,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0971,0.0809,0.0162,0.0000,
624,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0437,0.0175,0.0000,
625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0531,0.0797,0.0000,0.0000,
626,0.0000,0.0000,0.0000,0.0000,0.0159,0.0080,0.1913,0.2470,0.0319,0.0239,
627,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1327,0.0000,0.0000,
