,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Minnesota,5,4.1,3.7,4,3.3,2.7,2.8,3.2,3.8,4.5,4.9,4.7,4.1,4,4.6,5.4,7.8,7.4,6.5,5.6,5,4.2,3.7,3.9,3.5
Mississippi,6.6,6.3,6.2,6,5.7,5.3,5.1,5.4,5.5,6.6,6.3,6.2,7.5,6.5,6.1,6.6,9.5,10.4,10,9,8.5,7.5,6.4,5.8,5.1
Missouri,6.2,5.1,4.7,4.8,4.3,4.2,3.3,3.6,4.6,5.4,5.6,5.9,5.4,4.8,5.1,6.1,9.3,9.6,8.5,6.9,6.7,6.1,5,4.6,3.8
Montana,6,5.2,5.7,5.3,5.3,5.5,5.3,5,4.5,4.4,4.7,4.8,4.4,3.5,3.6,5.1,6.8,7.3,6.9,6,5.4,4.7,4.2,4.1,4
Nebraska,2.8,2.6,2.6,2.7,2.5,2.6,2.8,2.8,3.1,3.6,3.9,3.9,3.8,3.1,3,3.3,4.6,4.6,4.4,4,3.8,3.3,3,3.1,2.9
Nevada,6.8,6.2,5.6,5,4.4,4.2,4,4.2,5.2,5.6,5.1,4.3,4.1,4,4.5,6.7,11.3,13.5,13,11.2,9.6,7.9,6.8,5.7,5
New Hampshire,6.1,4.7,4,3.8,3.3,2.8,2.7,2.7,3.4,4.5,4.3,3.8,3.6,3.4,3.5,3.9,6.2,5.8,5.4,5.5,5.1,4.3,3.4,2.9,2.7
New Jersey,7.6,6.8,6.4,6.1,5.3,4.6,4.5,3.7,4.3,5.8,5.8,4.8,4.5,4.7,4.3,5.3,9.1,9.5,9.3,9.3,8.2,6.8,5.8,5,4.6
New Mexico,7,6.5,6.6,7.2,6.3,6.1,5.6,4.9,4.9,5.5,5.9,5.5,5.1,4.2,3.8,4.5,7.5,8.1,7.5,7.1,6.9,6.7,6.5,6.7,6.2
New York,7.9,6.9,6.3,6.2,6.4,5.6,5.2,4.5,4.8,6.1,6.4,5.8,5,4.5,4.6,5.4,8.3,8.6,8.3,8.5,7.7,6.3,5.3,4.8,4.7
North Carolina,5,4.4,4.3,4.3,3.7,3.5,3.2,3.7,5.5,6.6,6.4,5.5,5.2,4.7,4.7,6.1,10.6,10.9,10.3,9.3,8,6.3,5.7,5.1,4.6
North Dakota,4.3,3.7,3.2,2.9,2.7,2.9,3.3,3,2.9,3.7,3.7,3.4,3.4,3.2,3.1,3.2,4.1,3.8,3.5,3.1,2.9,2.7,2.8,3.1,2.6
Ohio,6.6,5.6,4.8,5,4.6,4.3,4.3,4,4.3,5.7,6.2,6.3,5.9,5.4,5.6,6.4,10.3,10.3,8.8,7.4,7.5,5.8,4.9,5,5
Oklahoma,5.9,5.6,4.6,4.1,4.1,4.3,3.5,3,3.7,4.7,5.5,4.9,4.5,4,4.1,3.7,6.4,6.8,5.9,5.2,5.3,4.5,4.4,4.8,4.3
Oregon,7,5.4,4.9,5.7,5.7,5.7,5.5,5.1,6.4,7.5,8.1,7.3,6.2,5.3,5.2,6.5,11.3,10.6,9.5,8.8,7.9,6.8,5.6,4.8,4.1
Pennsylvania,7,6.3,5.9,5.4,5.1,4.6,4.4,4.1,4.8,5.6,5.7,5.4,5,4.6,4.4,5.3,8,8.5,7.9,7.8,7.4,5.9,5.3,5.4,4.9
Rhode Island,7.7,6.9,6.3,5.4,5.1,4.6,4.2,4.1,4.6,5,5.3,5.2,5,4.9,5.2,7.8,11,11.2,11,10.4,9.3,7.7,6,5.2,4.5
South Carolina,7.3,6.2,5.2,5.8,4.6,3.8,4.3,3.8,5.2,5.8,6.9,6.8,6.7,6.4,5.7,6.8,11.2,11.2,10.6,9.2,7.6,6.5,6,5,4.3
South Dakota,3.4,3.3,3,3.2,2.9,2.8,2.7,2.5,3.1,3.2,3.5,3.7,3.8,3.1,2.8,3.1,4.9,5,4.7,4.3,3.8,3.4,3.1,3,3.3
Tennessee,5.8,4.8,5.2,5.2,5.3,4.3,4,3.9,4.6,5.2,5.6,5.3,5.6,5.2,4.7,6.6,10.5,9.7,9,7.8,7.8,6.6,5.6,4.7,3.7
Texas,7.2,6.5,6.1,5.7,5.3,4.9,4.7,4.3,5,6.4,6.7,5.9,5.4,4.9,4.3,4.8,7.6,8.1,7.8,6.7,6.3,5.1,4.4,4.6,4.3
Utah,4.1,3.8,3.5,3.4,3.2,3.6,3.5,3.3,4.4,5.8,5.6,5,4.1,3,2.6,3.6,7.3,7.8,6.7,5.4,4.6,3.8,3.6,3.4,3.2
Vermont,5.2,4.6,4.3,4.3,3.9,3.4,3,2.8,3.3,4,4.3,3.7,3.5,3.7,4,4.7,6.6,6.1,5.5,5,4.4,4,3.6,3.2,3
Virginia,5.2,4.9,4.5,4.4,3.8,2.9,2.7,2.3,3.2,4.2,4.1,3.8,3.6,3.1,3,3.9,6.7,7.1,6.6,6.1,5.7,5.2,4.5,4.1,3.8
Washington,7.3,6.6,6.4,6.1,4.9,4.8,4.9,5.2,6.3,7.4,7.4,6.3,5.6,5,4.7,5.4,9.2,10,9.3,8.1,7,6.1,5.7,5.3,4.8
West Virginia,10.6,8.8,7.9,7.5,6.9,6.6,6.5,5.5,5,5.9,6,5.3,5.1,4.9,4.6,4.3,7.7,8.7,8.1,7.5,6.8,6.6,6.7,6.1,5.2
Wisconsin,4.8,4.5,3.8,3.6,3.6,3.4,3.1,3.5,4.5,5.4,5.7,5,4.7,4.7,4.9,4.9,8.6,8.7,7.8,7,6.7,5.4,4.5,4,3.3
Wyoming,5.3,5,4.8,4.9,4.8,4.7,4.6,3.9,3.8,4,4.3,3.8,3.6,3.2,2.8,3.1,6.3,6.4,5.8,5.3,4.7,4.1,4.3,5.3,4.2
